station_name,station_descriptive_name,map_id,ada,red,blue,g,brn,p,pexp,y,pnk,o,latitude,longitude,direction_n,direction_s,direction_e,direction_w,num_lines
Clark/Lake,"Clark/Lake (Blue, Brown, Green, Orange, Purple & Pink lines)",40380,True,0,1,1,1,0,1,0,1,1,41.885737,-87.630886,1,1,1,1,6
Washington/Wabash,"Washington/Wabash (Brown, Green, Orange, Purple & Pink lines)",41700,True,0,0,1,1,0,1,0,1,1,41.88322,-87.626189,1,1,0,0,5
State/Lake,"State/Lake (Brown, Green, Orange, Pink & Purple lines)",40260,False,0,0,1,1,0,1,0,1,1,41.88574,-87.627835,0,0,1,1,5
Adams/Wabash,"Adams/Wabash (Brown, Green, Orange, Pink & Purple lines)",40680,False,0,0,1,1,0,1,0,1,1,41.879507,-87.626037,1,1,0,0,5
Harold Washington Library-State/Van Buren,"Harold Washington Library-State/Van Buren (Brown, Orange, Purple & Pink lines)",40850,True,0,0,0,1,0,1,0,1,1,41.876862,-87.628196,0,0,1,1,4
Washington/Wells,"Washington/Wells (Brown, Orange, Purple & Pink lines)",40730,True,0,0,0,1,0,1,0,1,1,41.882695,-87.63378,1,1,0,0,4
Quincy/Wells,"Quincy/Wells (Brown, Orange, Purple & Pink lines)",40040,True,0,0,0,1,0,0,0,1,1,41.878723,-87.63374,1,1,0,0,4
LaSalle/Van Buren,"LaSalle/Van Buren (Brown, Orange, Purple & Pink lines)",40160,False,0,0,0,1,0,1,0,1,1,41.8768,-87.631739,0,0,1,1,4
Fullerton,"Fullerton (Red, Brown & Purple lines)",41220,True,1,0,0,1,0,1,0,0,0,41.925051,-87.652866,1,1,0,0,3
Roosevelt,"Roosevelt (Red, Orange & Green lines)",41400,True,1,0,1,0,0,0,0,0,1,41.867405,-87.62659,1,1,0,0,3
Roosevelt,"Roosevelt (Red, Orange & Green lines)",41400,True,1,0,1,0,0,0,0,0,1,41.867368,-87.627402,1,1,0,0,3
Belmont,"Belmont (Red, Brown & Purple lines)",41320,True,1,0,0,1,0,1,0,0,0,41.939751,-87.65338,1,1,0,0,3
Howard,"Howard (Red, Purple & Yellow lines)",40900,True,1,0,0,0,1,0,1,0,0,42.019063,-87.672892,1,1,0,0,3
Clinton,Clinton (Green & Pink lines),41160,True,0,0,1,0,0,0,0,1,0,41.885678,-87.641782,0,0,1,1,2
Diversey,Diversey (Brown & Purple lines),40530,True,0,0,0,1,0,1,0,0,0,41.932732,-87.653131,1,1,0,0,2
Morgan,Morgan (Green & Pink lines),41510,True,0,0,1,0,0,0,0,1,0,41.885586,-87.652193,0,0,1,1,2
Merchandise Mart,Merchandise Mart (Brown & Purple lines),40460,True,0,0,0,1,0,1,0,0,0,41.888969,-87.633924,1,1,0,0,2
Sedgwick,Sedgwick (Brown & Purple lines),40800,True,0,0,0,1,0,1,0,0,0,41.910409,-87.639302,1,1,0,0,2
Wellington,Wellington (Brown & Purple lines),41210,True,0,0,0,1,0,1,0,0,0,41.936033,-87.653266,1,1,0,0,2
Chicago,Chicago (Brown & Purple lines),40710,True,0,0,0,1,0,1,0,0,0,41.89681,-87.635924,1,1,0,0,2
Wilson,Wilson (Red & Purple lines),40540,True,1,0,0,0,0,0,0,0,0,41.964273,-87.657588,1,1,0,0,2
Armitage,Armitage (Brown & Purple lines),40660,True,0,0,0,1,0,1,0,0,0,41.918217,-87.652644,1,1,0,0,2
Ashland,Ashland (Green & Pink lines),40170,True,0,0,1,0,0,0,0,1,0,41.885269,-87.666969,0,0,1,1,2
Ashland/63rd,Ashland/63rd (Green Line),40290,True,0,0,1,0,0,0,0,0,0,41.77886,-87.663766,0,0,1,1,1
Paulina,Paulina (Brown Line),41310,True,0,0,0,1,0,0,0,0,0,41.943623,-87.670907,1,1,0,0,1
Oak Park,Oak Park (Green Line),41350,False,0,0,1,0,0,0,0,0,0,41.886988,-87.793783,0,0,1,1,1
Oak Park,Oak Park (Blue Line),40180,False,0,1,0,0,0,0,0,0,0,41.872108,-87.791602,0,0,1,1,1
O'Hare,O'Hare (Blue Line),40890,True,0,1,0,0,0,0,0,0,0,41.97766526,-87.90422307,1,1,0,0,1
Noyes,Noyes (Purple Line),40400,False,0,0,0,0,1,0,0,0,0,42.058282,-87.683337,1,1,0,0,1
North/Clybourn,North/Clybourn (Red Line),40650,False,1,0,0,0,0,0,0,0,0,41.910655,-87.649177,1,1,0,0,1
Morse,Morse (Red Line),40100,False,1,0,0,0,0,0,0,0,0,42.008362,-87.665909,1,1,0,0,1
79th,79th (Red Line),40240,True,1,0,0,0,0,0,0,0,0,41.750419,-87.625112,1,1,0,0,1
Montrose,Montrose (Brown Line),41500,True,0,0,0,1,0,0,0,0,0,41.961756,-87.675047,1,1,0,0,1
Montrose,Montrose (Blue Line),41330,False,0,1,0,0,0,0,0,0,0,41.961539,-87.743574,1,1,0,0,1
Monroe,Monroe (Red Line),41090,False,1,0,0,0,0,0,0,0,0,41.880745,-87.627696,1,1,0,0,1
Monroe,Monroe (Blue Line),40790,False,0,1,0,0,0,0,0,0,0,41.880703,-87.629378,1,1,0,0,1
Midway,Midway (Orange Line),40930,True,0,0,0,0,0,0,0,0,1,41.78661,-87.737875,1,1,0,0,1
87th,87th (Red Line),41430,True,1,0,0,0,0,0,0,0,0,41.735372,-87.624717,1,1,0,0,1
Main,Main (Purple Line),40270,False,0,0,0,0,1,0,0,0,0,42.033456,-87.679538,1,1,0,0,1
Loyola,Loyola (Red Line),41300,True,1,0,0,0,0,0,0,0,0,42.001073,-87.661061,1,1,0,0,1
Logan Square,Logan Square (Blue Line),41020,True,0,1,0,0,0,0,0,0,0,41.929728,-87.708541,1,1,0,0,1
Linden,Linden (Purple Line),41050,True,0,0,0,0,1,0,0,0,0,42.073153,-87.69073,1,1,0,0,1
Lawrence,Lawrence (Red Line),40770,False,1,0,0,0,0,0,0,0,0,41.969139,-87.658493,1,1,0,0,1
Laramie,Laramie (Green Line),40700,True,0,0,1,0,0,0,0,0,0,41.887163,-87.754986,0,0,1,1,1
Lake,Lake (Red Line),41660,True,1,0,0,0,0,0,0,0,0,41.884809,-87.627813,1,1,0,0,1
95th/Dan Ryan,95th/Dan Ryan (Red Line),40450,True,1,0,0,0,0,0,0,0,0,41.722377,-87.624342,1,1,0,0,1
LaSalle,LaSalle (Blue Line),41340,False,0,1,0,0,0,0,0,0,0,41.875568,-87.631722,0,0,1,1,1
Kostner,Kostner (Pink Line),40600,True,0,0,0,0,0,0,0,1,0,41.853751,-87.733258,0,0,1,1,1
King Drive,King Drive (Green Line),41140,True,0,0,1,0,0,0,0,0,0,41.78013,-87.615546,0,0,1,1,1
Kimball,Kimball (Brown Line),41290,True,0,0,0,1,0,0,0,0,0,41.967901,-87.713065,1,1,0,0,1
Kedzie-Homan,Kedzie-Homan (Blue Line),40250,True,0,1,0,0,0,0,0,0,0,41.874341,-87.70604,0,0,1,1,1
Kedzie,Kedzie (Pink Line),41040,True,0,0,0,0,0,0,0,1,0,41.853964,-87.705408,0,0,1,1,1
Oakton-Skokie,Oakton-Skokie (Yellow Line),41680,True,0,0,0,0,0,0,1,0,0,42.02624348,-87.74722084,1,1,0,0,1
Pulaski,Pulaski (Blue Line),40920,False,0,1,0,0,0,0,0,0,0,41.873797,-87.725663,0,0,1,1,1
Polk,Polk (Pink Line),41030,True,0,0,0,0,0,0,0,1,0,41.871551,-87.66953,0,0,1,1,1
Kedzie,Kedzie (Green Line),41070,True,0,0,1,0,0,0,0,0,0,41.884321,-87.706155,0,0,1,1,1
Western,Western (Pink Line),40740,True,0,0,0,0,0,0,0,1,0,41.854225,-87.685129,0,0,1,1,1
Western,Western (Orange Line),40310,True,0,0,0,0,0,0,0,0,1,41.804546,-87.684019,1,1,0,0,1
Western,Western (Brown Line),41480,True,0,0,0,1,0,0,0,0,0,41.966163,-87.688502,1,1,0,0,1
Western,Western (Blue Line - O'Hare Branch),40670,True,0,1,0,0,0,0,0,0,0,41.916157,-87.687364,1,1,0,0,1
Western,Western (Blue Line - Forest Park Branch),40220,False,0,1,0,0,0,0,0,0,0,41.875478,-87.688436,0,0,1,1,1
35th/Archer,35th/Archer (Orange Line),40120,True,0,0,0,0,0,0,0,0,1,41.829353,-87.680622,1,1,0,0,1
43rd,43rd (Green Line),41270,True,0,0,1,0,0,0,0,0,0,41.816462,-87.619021,1,1,0,0,1
47th,47th (Green Line),41080,True,0,0,1,0,0,0,0,0,0,41.809209,-87.618826,1,1,0,0,1
Washington,Washington (Blue Line),40370,False,0,1,0,0,0,0,0,0,0,41.883164,-87.62944,1,1,0,0,1
